Index,Market Cap
MMM,73316105713.38351
AOS,7703968699.678566
ABT,196962449818.1482
ABBV,173399815295.2509
ACN,184009017788.9326
ADBE,243931040073.2227
AMD,163844426986.4748
AES,15889311596.96893
AFL,27037238793.17456
A,40268003011.04282
APD,57776869032.1236
AKAM,16496368357.71261
ALB,22269233333.70887
ARE,28502406524.98654
ALGN,46075308628.09808
ALLE,10850021399.76917
LNT,12669317236.69955
ALL,29643818485.72744
GOOGL,721145887039.5294
GOOG,686750353695.9235
MO,59419078051.63008
AMZN,1771682806995.007
AMCR,14512488495.11381
AEE,19775426854.03599
AEP,39568647195.14952
AXP,105155859895.5478
AIG,28938048729.83783
AMT,109175384787.3812
AWK,29982444270.96372
AMP,23396101740.27394
AME,29728644666.52913
AMGN,111302631306.7612
APH,41800862678.58633
ADI,76795313433.10205
ANSS,31638635656.00851
AON,54459614023.38879
APA,7157460028.308685
APO,30964293720.2136
AAPL,2077737372965.018
AMAT,103621841917.5489
APTV,36118093568.62341
ACGL,14072526534.7362
ADM,26619416261.84635
ANET,29130057884.03175
AJG,34268902790.02161
AIZ,7340054412.985694
T,118158724344.4269
ATO,13876775268.70498
ADSK,63130233081.04879
ADP,75780415717.47966
AZO,25859671369.21811
AVB,26469858985.16676
AVY,15383921356.74769
AXON,12441232764.08718
BKR,20994126037.45339
BALL,25390072241.07634
BAC,281118024804.1307
BAX,37931973951.72401
BDX,66609299689.27024
BBY,20906294798.21378
TECH,17293669817.36665
BIIB,42168195290.72649
BLK,119724211770.3994
BX,66463883571.93413
BK,32690647911.5615
BA,168390868318.65
BKNG,75206218141.4736
BWA,8462775599.43294
BSX,61259831990.93298
BMY,111319247496.9104
AVGO,212930433019.5467
BR,18009696893.06194
BRO,15201938955.4122
BLDR,5922883641.661991
BG,10398193661.43196
BXP,14351740438.10944
CHRW,10200026710.90605
CDNS,40736197840.53381
CZR,20398760244.25642
CPT,12816369955.49802
CPB,11966414583.06562
COF,52234897353.67941
CAH,11895968457.02305
KMX,19931403974.69743
CCL,27988562842.24916
CAT,95128717459.71867
CBOE,11559162377.83055
CBRE,26923462212.20254
CDW,22444953651.64462
CE,15565851713.80157
COR,21883797468.09601
CNC,33555067462.68881
CNP,14614448457.7056
CF,8371648385.706358
CRL,18127574738.88678
SCHW,120527297380.3546
CHTR,97245034407.67725
CVX,158896846815.9797
CMG,43777033069.85272
CB,65384098607.08992
CHD,20323603115.41085
CI,58084292162.57087
CINF,16007060308.30995
CTAS,35033212669.65745
CSCO,190020344081.4067
C,112902554900.5433
CFG,16934367851.26477
CLX,19570187638.5908
CME,63608469260.15785
CMS,16340653521.50367
KO,209336755065.9224
CTSH,35844569691.36776
CL,59516739627.37998
CMCSA,187064329489.1357
CAG,14244820635.63804
COP,67156981166.68215
ED,22992302534.20664
STZ,38935027970.09434
COO,20027007824.62717
CPRT,31861681059.13234
GLW,30607502383.62423
CPAY,18221044627.22971
CTVA,29525614021.54823
CSGP,35174271410.50317
COST,178303551941.4079
CTRA,11024469620.8004
CRWD,57226395541.59133
CCI,66697518842.41283
CSX,60260174268.23046
CMI,30334710821.6297
CVS,92649235717.68367
DHR,172624112517.295
DRI,14698254936.83723
DVA,9481792844.208609
DAY,16060508334.91751
DECK,9220410441.847242
DE,90954545020.15224
DELL,16409692373.84837
DAL,27194611214.99677
DVN,15617174932.68721
DXCM,44981017746.88963
FANG,20901481716.62514
DLR,44253413020.28931
DFS,26245818311.80954
DG,44624156122.12032
DLTR,23321651915.18165
D,54087085333.8653
DPZ,14972716740.99333
DOV,20013183346.79114
DOW,35866292662.05704
DHI,27984550822.65316
DTE,20892762877.53832
DUK,66653356439.76666
DD,29894550192.63912
EMN,11502303125.38599
ETN,55701893733.0163
EBAY,29574820783.3211
ECL,59519336948.4878
EIX,19676177457.996
EW,60511381722.93198
EA,35473150599.12151
ELV,83669788310.71658
